Episode,Total_Reward,Moving_Average,Episode_Length,Step_Count,Success
15000,169.0,169.0,28,700487,0
15001,168.0,168.5,27,700514,0
15002,173.0,170.0,26,700540,0
15003,173.0,170.75,26,700566,0
15004,169.0,170.4,26,700592,0
15005,173.0,170.83333333333334,26,700618,0
15006,373.0,199.71428571428572,39,700657,0
15007,391.0,223.625,44,700701,0
15008,483.0,252.44444444444446,53,700754,0
15009,394.0,266.6,45,700799,0
15010,1161.0,347.90909090909093,107,700906,0
15011,169.0,333.0,26,700932,0
15012,1152.0,396.0,105,701037,0
15013,1152.0,450.0,104,701141,0
15014,1151.0,496.73333333333335,105,701246,0
15015,170.0,476.3125,26,701272,0
15016,1134.0,515.0,111,701383,0
15017,391.0,508.1111111111111,43,701426,0
15018,391.0,501.94736842105266,43,701469,0
15019,1150.0,534.35,107,701576,0
15020,399.0,527.9047619047619,44,701620,0
15021,1159.0,556.5909090909091,106,701726,0
15022,1163.0,582.9565217391304,105,701831,0
15023,1147.0,606.4583333333334,105,701936,0
15024,1149.0,628.16,106,702042,0
15025,485.0,622.6538461538462,52,702094,0
15026,1154.0,642.3333333333334,105,702199,0
15027,391.0,633.3571428571429,43,702242,0
15028,1152.0,651.2413793103449,105,702347,0
15029,376.0,642.0666666666667,38,702385,0
15030,1160.0,658.7741935483871,109,702494,0
15031,485.0,653.34375,57,702551,0
15032,484.0,648.2121212121212,70,702621,0
15033,174.0,634.2647058823529,27,702648,0
15034,169.0,620.9714285714285,30,702678,0
15035,1153.0,635.75,105,702783,0
15036,386.0,629.0,45,702828,0
15037,172.0,616.9736842105264,27,702855,0
15038,1163.0,630.974358974359,106,702961,0
15039,170.0,619.45,26,702987,0
15040,2098.0,655.5121951219512,281,703268,0
15041,172.0,644.0,28,703296,0
15042,172.0,633.0232558139535,28,703324,0
15043,170.0,622.5,27,703351,0
15044,1155.0,634.3333333333334,106,703457,0
15045,485.0,631.0869565217391,55,703512,0
15046,175.0,621.3829787234042,27,703539,0
15047,1152.0,632.4375,106,703645,0
15048,174.0,623.0816326530612,27,703672,0
15049,1331.0,637.24,137,703809,0
15050,1145.0,647.1960784313726,106,703915,0
15051,167.0,637.9615384615385,26,703941,0
15052,172.0,629.1698113207547,30,703971,0
15053,481.0,626.425925925926,63,704034,0
15054,1145.0,635.8545454545455,106,704140,0
15055,1149.0,645.0178571428571,114,704254,0
15056,1138.0,653.6666666666666,110,704364,0
15057,1135.0,661.9655172413793,110,704474,0
15058,1124.0,669.7966101694915,118,704592,0
15059,1144.0,677.7,110,704702,0
15060,390.0,672.983606557377,47,704749,0
15061,1162.0,680.8709677419355,108,704857,0
15062,391.0,676.2698412698413,46,704903,0
15063,379.0,671.625,41,704944,0
15064,394.0,667.3538461538461,45,704989,0
15065,1153.0,674.7121212121212,106,705095,0
15066,173.0,667.223880597015,30,705125,0
15067,390.0,663.1470588235294,51,705176,0
15068,170.0,656.0,26,705202,0
15069,171.0,649.0714285714286,26,705228,0
15070,1142.0,656.0140845070423,106,705334,0
15071,1150.0,662.875,106,705440,0
15072,393.0,659.1780821917808,44,705484,0
15073,390.0,655.5405405405405,44,705528,0
15074,167.0,649.0266666666666,26,705554,0
15075,392.0,645.6447368421053,46,705600,0
15076,392.0,642.3506493506494,46,705646,0
15077,371.0,638.8717948717949,38,705684,0
15078,1161.0,645.4810126582279,105,705789,0
15079,1150.0,651.7875,106,705895,0
15080,1171.0,658.1975308641976,110,706005,0
15081,1767.0,671.719512195122,202,706207,0
15082,378.0,668.1807228915662,40,706247,0
15083,1501.0,678.0952380952381,140,706387,0
15084,380.0,674.5882352941177,41,706428,0
15085,1160.0,680.2325581395348,105,706533,0
15086,1143.0,685.551724137931,108,706641,0
15087,1144.0,690.7613636363636,107,706748,0
15088,1152.0,695.943820224719,106,706854,0
15089,1156.0,701.0555555555555,104,706958,0
15090,1152.0,706.010989010989,106,707064,0
15091,173.0,700.2173913043479,27,707091,0
15092,1161.0,705.1720430107526,109,707200,0
15093,380.0,701.7127659574468,40,707240,0
15094,378.0,698.3052631578947,38,707278,0
15095,1157.0,703.0833333333334,109,707387,0
15096,371.0,699.659793814433,38,707425,0
15097,483.0,697.4489795918367,56,707481,0
15098,171.0,692.1313131313132,26,707507,0
15099,391.0,689.12,46,707553,0
15100,381.0,691.24,40,707593,0
15101,171.0,691.27,25,707618,0
15102,379.0,693.33,40,707658,0
15103,170.0,693.3,29,707687,0
15104,1136.0,702.97,108,707795,0
15105,371.0,704.95,38,707833,0
