Episode,Total_Reward,Moving_Average
0,782.0,782.0
1,686.0,734.0
2,625.0,697.6666666666666
3,625.0,679.5
4,1075.0,758.6
5,629.0,737.0
6,241.0,666.1428571428571
7,1134.0,724.625
8,616.0,712.5555555555555
9,763.0,717.6
10,599.0,706.8181818181819
11,783.0,713.1666666666666
12,791.0,719.1538461538462
13,1203.0,753.7142857142857
14,1634.0,812.4
15,1125.0,831.9375
16,228.0,796.4117647058823
17,577.0,784.2222222222222
18,1116.0,801.6842105263158
19,758.0,799.5
20,747.0,797.0
21,1263.0,818.1818181818181
22,981.0,825.2608695652174
23,196.0,799.0416666666666
24,609.0,791.44
25,1021.0,800.2692307692307
26,635.0,794.1481481481482
27,229.0,773.9642857142857
28,621.0,768.6896551724138
29,1286.0,785.9333333333333
30,230.0,768.0
31,965.0,774.15625
32,612.0,769.2424242424242
33,757.0,768.8823529411765
34,752.0,768.4
35,242.0,753.7777777777778
36,766.0,754.1081081081081
37,1247.0,767.078947368421
38,235.0,753.4358974358975
39,247.0,740.775
40,239.0,728.5365853658536
41,637.0,726.3571428571429
42,649.0,724.5581395348837
43,223.0,713.1590909090909
44,200.0,701.7555555555556
45,711.0,701.9565217391304
46,637.0,700.5744680851063
47,603.0,698.5416666666666
48,605.0,696.6326530612245
49,762.0,697.94
50,232.0,688.8039215686274
51,267.0,680.6923076923077
52,636.0,679.8490566037735
53,227.0,671.4629629629629
54,1242.0,681.8363636363637
55,716.0,682.4464285714286
56,216.0,674.2631578947369
57,964.0,679.2586206896551
58,245.0,671.8983050847457
59,581.0,670.3833333333333
60,575.0,668.8196721311475
61,246.0,662.0
62,628.0,661.4603174603175
63,224.0,654.625
64,1342.0,665.2
65,1026.0,670.6666666666666
66,241.0,664.2537313432836
67,234.0,657.9264705882352
68,941.0,662.0289855072464
69,629.0,661.5571428571428
70,697.0,662.056338028169
71,1393.0,672.2083333333334
72,1283.0,680.5753424657535
73,965.0,684.418918918919
74,615.0,683.4933333333333
75,573.0,682.0394736842105
76,614.0,681.1558441558442
77,609.0,680.2307692307693
78,613.0,679.379746835443
79,1038.0,683.8625
80,789.0,685.1604938271605
81,725.0,685.6463414634146
82,645.0,685.156626506024
83,638.0,684.5952380952381
84,621.0,683.8470588235294
85,247.0,678.7674418604652
86,248.0,673.816091954023
87,930.0,676.7272727272727
88,699.0,676.9775280898876
89,620.0,676.3444444444444
90,237.0,671.5164835164835
91,1331.0,678.6847826086956
92,725.0,679.1827956989247
93,623.0,678.5851063829788
