Episode,Moving_Average,min_moving_avg_100,max_moving_avg_100
0,782.0,782.0,782.0
1,734.0,734.0,782.0
2,697.6666666666666,697.6666666666666,782.0
3,679.5,679.5,782.0
4,758.6,679.5,782.0
5,737.0,679.5,782.0
6,666.1428571428571,666.1428571428571,782.0
7,724.625,666.1428571428571,782.0
8,712.5555555555555,666.1428571428571,782.0
9,717.6,666.1428571428571,782.0
10,706.8181818181819,666.1428571428571,782.0
11,713.1666666666666,666.1428571428571,782.0
12,719.1538461538462,666.1428571428571,782.0
13,753.7142857142857,666.1428571428571,782.0
14,812.4,666.1428571428571,812.4
15,831.9375,666.1428571428571,831.9375
16,796.4117647058823,666.1428571428571,831.9375
17,784.2222222222222,666.1428571428571,831.9375
18,801.6842105263158,666.1428571428571,831.9375
19,799.5,666.1428571428571,831.9375
20,797.0,666.1428571428571,831.9375
21,818.1818181818181,666.1428571428571,831.9375
22,825.2608695652174,666.1428571428571,831.9375
23,799.0416666666666,666.1428571428571,831.9375
24,791.44,666.1428571428571,831.9375
25,800.2692307692307,666.1428571428571,831.9375
26,794.1481481481482,666.1428571428571,831.9375
27,773.9642857142857,666.1428571428571,831.9375
28,768.6896551724138,666.1428571428571,831.9375
29,785.9333333333333,666.1428571428571,831.9375
30,768.0,666.1428571428571,831.9375
31,774.15625,666.1428571428571,831.9375
32,769.2424242424242,666.1428571428571,831.9375
33,768.8823529411765,666.1428571428571,831.9375
34,768.4,666.1428571428571,831.9375
35,753.7777777777778,666.1428571428571,831.9375
36,754.1081081081081,666.1428571428571,831.9375
37,767.078947368421,666.1428571428571,831.9375
38,753.4358974358975,666.1428571428571,831.9375
39,740.775,666.1428571428571,831.9375
40,728.5365853658536,666.1428571428571,831.9375
41,726.3571428571429,666.1428571428571,831.9375
42,724.5581395348837,666.1428571428571,831.9375
43,713.1590909090909,666.1428571428571,831.9375
44,701.7555555555556,666.1428571428571,831.9375
45,701.9565217391304,666.1428571428571,831.9375
46,700.5744680851063,666.1428571428571,831.9375
47,698.5416666666666,666.1428571428571,831.9375
48,696.6326530612245,666.1428571428571,831.9375
49,697.94,666.1428571428571,831.9375
50,688.8039215686274,666.1428571428571,831.9375
51,680.6923076923077,666.1428571428571,831.9375
52,679.8490566037735,666.1428571428571,831.9375
53,671.4629629629629,666.1428571428571,831.9375
54,681.8363636363637,666.1428571428571,831.9375
55,682.4464285714286,666.1428571428571,831.9375
56,674.2631578947369,666.1428571428571,831.9375
57,679.2586206896551,666.1428571428571,831.9375
58,671.8983050847457,666.1428571428571,831.9375
59,670.3833333333333,666.1428571428571,831.9375
60,668.8196721311475,666.1428571428571,831.9375
61,662.0,662.0,831.9375
62,661.4603174603175,661.4603174603175,831.9375
63,654.625,654.625,831.9375
64,665.2,654.625,831.9375
65,670.6666666666666,654.625,831.9375
66,664.2537313432836,654.625,831.9375
67,657.9264705882352,654.625,831.9375
68,662.0289855072464,654.625,831.9375
69,661.5571428571428,654.625,831.9375
70,662.056338028169,654.625,831.9375
71,672.2083333333334,654.625,831.9375
72,680.5753424657535,654.625,831.9375
73,684.418918918919,654.625,831.9375
74,683.4933333333333,654.625,831.9375
75,682.0394736842105,654.625,831.9375
76,681.1558441558442,654.625,831.9375
77,680.2307692307693,654.625,831.9375
78,679.379746835443,654.625,831.9375
79,683.8625,654.625,831.9375
80,685.1604938271605,654.625,831.9375
81,685.6463414634146,654.625,831.9375
82,685.156626506024,654.625,831.9375
83,684.5952380952381,654.625,831.9375
84,683.8470588235294,654.625,831.9375
85,678.7674418604652,654.625,831.9375
86,673.816091954023,654.625,831.9375
87,676.7272727272727,654.625,831.9375
88,676.9775280898876,654.625,831.9375
89,676.3444444444444,654.625,831.9375
90,671.5164835164835,654.625,831.9375
91,678.6847826086956,654.625,831.9375
92,679.1827956989247,654.625,831.9375
93,678.5851063829788,654.625,831.9375
94,673.8842105263158,654.625,831.9375
95,669.15625,654.625,831.9375
96,668.9381443298969,654.625,831.9375
97,672.7551020408164,654.625,831.9375
98,673.7878787878788,654.625,831.9375
99,673.16,654.625,831.9375
100,671.62,654.625,831.9375
101,667.25,654.625,831.9375
102,663.43,654.625,831.9375
103,670.11,654.625,831.9375
104,665.5,654.625,831.9375
105,661.64,654.625,831.9375
106,667.03,654.625,831.9375
107,658.08,654.625,831.9375
108,654.28,654.28,831.9375
109,656.65,654.28,831.9375
110,656.39,654.28,831.9375
111,661.26,654.28,831.9375
112,662.8,654.28,831.9375
113,658.04,654.28,831.9375
114,643.99,643.99,831.9375
115,639.73,639.73,825.2608695652174
116,639.93,639.73,825.2608695652174
117,640.28,639.73,825.2608695652174
118,634.96,634.96,825.2608695652174
119,629.71,629.71,825.2608695652174
120,635.84,629.71,825.2608695652174
121,629.45,629.45,825.2608695652174
122,622.11,622.11,800.2692307692307
123,630.48,622.11,800.2692307692307
124,631.59,622.11,800.2692307692307
125,627.44,622.11,794.1481481481482
126,627.45,622.11,785.9333333333333
127,635.6,622.11,785.9333333333333
128,640.41,622.11,785.9333333333333
129,633.6,622.11,774.15625
130,637.25,622.11,774.15625
131,633.64,622.11,769.2424242424242
132,629.96,622.11,768.8823529411765
