Episode,Moving_Average,min_moving_avg_100,max_moving_avg_100
0,220.0,220.0,220.0
1,226.5,220.0,226.5
2,224.66666666666666,220.0,226.5
3,310.5,220.0,310.5
4,411.4,220.0,411.4
5,472.6666666666667,220.0,472.6666666666667
6,511.42857142857144,220.0,511.42857142857144
7,571.375,220.0,571.375
8,534.5555555555555,220.0,571.375
9,544.1,220.0,571.375
10,549.1818181818181,220.0,571.375
11,552.8333333333334,220.0,571.375
12,583.6153846153846,220.0,583.6153846153846
13,586.0,220.0,586.0
14,588.0,220.0,588.0
15,588.375,220.0,588.375
16,589.7058823529412,220.0,589.7058823529412
17,568.7777777777778,220.0,589.7058823529412
18,570.1052631578947,220.0,589.7058823529412
19,570.15,220.0,589.7058823529412
20,584.5238095238095,220.0,589.7058823529412
21,608.4090909090909,220.0,608.4090909090909
22,623.8695652173913,220.0,623.8695652173913
23,638.25,220.0,638.25
24,636.24,220.0,638.25
25,651.3076923076923,220.0,651.3076923076923
26,635.6666666666666,220.0,651.3076923076923
27,656.1071428571429,220.0,656.1071428571429
28,661.7241379310345,220.0,661.7241379310345
29,647.8,220.0,661.7241379310345
30,646.2258064516129,220.0,661.7241379310345
31,662.96875,220.0,662.96875
32,662.0909090909091,220.0,662.96875
33,649.7352941176471,220.0,662.96875
34,667.8857142857142,220.0,667.8857142857142
35,667.1111111111111,220.0,667.8857142857142
36,665.4594594594595,220.0,667.8857142857142
37,664.2368421052631,220.0,667.8857142857142
38,666.2307692307693,220.0,667.8857142857142
39,655.8,220.0,667.8857142857142
40,655.9268292682926,220.0,667.8857142857142
41,673.452380952381,220.0,673.452380952381
42,676.2093023255813,220.0,676.2093023255813
43,674.2272727272727,220.0,676.2093023255813
44,664.0666666666667,220.0,676.2093023255813
45,667.1304347826087,220.0,676.2093023255813
46,658.0851063829788,220.0,676.2093023255813
47,649.1875,220.0,676.2093023255813
48,648.5102040816327,220.0,676.2093023255813
49,647.84,220.0,676.2093023255813
50,646.9607843137255,220.0,676.2093023255813
51,639.0,220.0,676.2093023255813
52,640.7924528301887,220.0,676.2093023255813
53,657.0925925925926,220.0,676.2093023255813
54,659.8,220.0,676.2093023255813
55,652.25,220.0,676.2093023255813
56,651.2631578947369,220.0,676.2093023255813
57,650.551724137931,220.0,676.2093023255813
58,656.542372881356,220.0,676.2093023255813
59,649.5166666666667,220.0,676.2093023255813
60,655.3770491803278,220.0,676.2093023255813
61,654.6774193548387,220.0,676.2093023255813
62,654.4126984126984,220.0,676.2093023255813
63,653.8125,220.0,676.2093023255813
64,647.2307692307693,220.0,676.2093023255813
65,640.9090909090909,220.0,676.2093023255813
66,640.4477611940298,220.0,676.2093023255813
67,634.3676470588235,220.0,676.2093023255813
68,628.6376811594203,220.0,676.2093023255813
69,628.2428571428571,220.0,676.2093023255813
70,628.0422535211268,220.0,676.2093023255813
71,628.1527777777778,220.0,676.2093023255813
72,629.5342465753424,220.0,676.2093023255813
73,629.2567567567568,220.0,676.2093023255813
74,628.9333333333333,220.0,676.2093023255813
75,628.9078947368421,220.0,676.2093023255813
76,633.922077922078,220.0,676.2093023255813
77,635.4487179487179,220.0,676.2093023255813
78,635.0759493670886,220.0,676.2093023255813
79,639.4375,220.0,676.2093023255813
80,634.5679012345679,220.0,676.2093023255813
81,639.6585365853658,220.0,676.2093023255813
82,634.9156626506024,220.0,676.2093023255813
83,634.8690476190476,220.0,676.2093023255813
84,630.2823529411764,220.0,676.2093023255813
85,631.2441860465116,220.0,676.2093023255813
86,631.2758620689655,220.0,676.2093023255813
87,639.1931818181819,220.0,676.2093023255813
88,634.8089887640449,220.0,676.2093023255813
89,630.3444444444444,220.0,676.2093023255813
90,625.8021978021978,220.0,676.2093023255813
91,630.054347826087,220.0,676.2093023255813
92,625.8709677419355,220.0,676.2093023255813
