Network,Episode,Total_Reward,Success
12500,1,1704.0,False
12500,2,1586.0,False
12500,3,1924.0,False
12500,4,1046.0,False
12500,5,3013.0,True
12500,6,3037.0,True
12500,7,2930.0,False
12500,8,1050.0,False
12500,9,2358.0,False
12500,10,2980.0,True
12500,11,2966.0,False
12500,12,3015.0,True
12500,13,2319.0,False
12500,14,2366.0,False
12500,15,2963.0,False
12500,16,1864.0,False
12500,17,3027.0,True
12500,18,2638.0,False
12500,19,3016.0,True
12500,20,1035.0,False
12500,21,801.0,False
12500,22,616.0,False
12500,23,2999.0,True
12500,24,3017.0,True
12500,25,2304.0,False
12000,1,2430.0,False
12000,2,1915.0,False
12000,3,1710.0,False
12000,4,2371.0,False
12000,5,1576.0,False
12000,6,3005.0,True
12000,7,1203.0,False
12000,8,1202.0,False
12000,9,1695.0,False
12000,10,1695.0,False
12000,11,1203.0,False
12000,12,1682.0,False
12000,13,1200.0,False
12000,14,1923.0,False
12000,15,1925.0,False
12000,16,1918.0,False
12000,17,1860.0,False
12000,18,1203.0,False
12000,19,609.0,False
12000,20,1947.0,False
12000,21,2584.0,False
12000,22,1695.0,False
12000,23,809.0,False
12000,24,1570.0,False
12000,25,1695.0,False
11500,1,1852.0,False
11500,2,2995.0,True
11500,3,730.0,False
11500,4,2336.0,False
11500,5,1581.0,False
11500,6,2302.0,False
11500,7,1623.0,False
11500,8,782.0,False
11500,9,3001.0,True
11500,10,1447.0,False
11500,11,782.0,False
11500,12,2583.0,False
11500,13,2360.0,False
11500,14,745.0,False
11500,15,1321.0,False
11500,16,3028.0,True
11500,17,1925.0,False
11500,18,745.0,False
11500,19,745.0,False
11500,20,3000.0,True
11500,21,2915.0,False
11500,22,745.0,False
11500,23,745.0,False
11500,24,1335.0,False
11500,25,745.0,False
11000,1,3020.0,True
11000,2,3034.0,True
11000,3,599.0,False
11000,4,3029.0,True
11000,5,3039.0,True
11000,6,1568.0,False
11000,7,2283.0,False
11000,8,2363.0,False
11000,9,1862.0,False
11000,10,2348.0,False
11000,11,3045.0,True
11000,12,1915.0,False
11000,13,2626.0,False
11000,14,3045.0,True
11000,15,2962.0,False
11000,16,2353.0,False
11000,17,1048.0,False
11000,18,2360.0,False
11000,19,1690.0,False
11000,20,2324.0,False
11000,21,1853.0,False
11000,22,2623.0,False
11000,23,2997.0,True
11000,24,1925.0,False
11000,25,1586.0,False
10500,1,2339.0,False
10500,2,1693.0,False
10500,3,2351.0,False
10500,4,3045.0,True
10500,5,2232.0,False
10500,6,1659.0,False
10500,7,1350.0,False
10500,8,1582.0,False
10500,9,3036.0,True
10500,10,2354.0,False
10500,11,3052.0,True
10500,12,1693.0,False
10500,13,1693.0,False
10500,14,3045.0,True
10500,15,3010.0,True
10500,16,1923.0,False
10500,17,1341.0,False
10500,18,2958.0,False
10500,19,1729.0,False
10500,20,2980.0,True
10500,21,2981.0,True
10500,22,1951.0,False
10500,23,2907.0,False
10500,24,1432.0,False
10500,25,1700.0,False
10000,1,2982.0,True
10000,2,2955.0,False
10000,3,2023.0,False
10000,4,611.0,False
10000,5,1693.0,False
10000,6,3044.0,True
10000,7,1704.0,False
10000,8,2890.0,False
10000,9,1422.0,False
10000,10,2924.0,False
10000,11,1853.0,False
10000,12,3044.0,True
10000,13,1693.0,False
10000,14,3045.0,True
10000,15,1693.0,False
10000,16,1693.0,False
10000,17,3026.0,True
10000,18,1329.0,False
10000,19,1693.0,False
10000,20,2635.0,False
10000,21,2350.0,False
10000,22,3011.0,True
10000,23,1586.0,False
10000,24,3056.0,True
10000,25,3008.0,True
9500,1,738.0,False
9500,2,2977.0,True
9500,3,2366.0,False
9500,4,1915.0,False
9500,5,1586.0,False
9500,6,1867.0,False
9500,7,1585.0,False
9500,8,1861.0,False
9500,9,1588.0,False
9500,10,1587.0,False
9500,11,2338.0,False
9500,12,1583.0,False
9500,13,654.0,False
9500,14,2357.0,False
9500,15,3015.0,True
9500,16,1583.0,False
9500,17,1692.0,False
9500,18,1863.0,False
9500,19,1583.0,False
9500,20,1441.0,False
9500,21,3000.0,True
9500,22,651.0,False
9500,23,769.0,False
9500,24,2363.0,False
9500,25,1925.0,False
9000,1,1581.0,False
9000,2,817.0,False
9000,3,1586.0,False
9000,4,1322.0,False
9000,5,1916.0,False
9000,6,1324.0,False
9000,7,782.0,False
9000,8,1848.0,False
9000,9,1581.0,False
9000,10,1906.0,False
9000,11,1581.0,False
9000,12,2995.0,True
9000,13,1581.0,False
9000,14,2963.0,False
9000,15,1582.0,False
9000,16,3011.0,True
9000,17,1656.0,False
9000,18,2342.0,False
9000,19,1692.0,False
9000,20,3028.0,True
9000,21,2933.0,False
9000,22,2617.0,False
9000,23,1583.0,False
9000,24,1709.0,False
9000,25,3031.0,True
8500,1,3051.0,True
8500,2,1692.0,False
8500,3,2335.0,False
8500,4,3007.0,True
8500,5,1562.0,False
8500,6,2937.0,False
8500,7,3040.0,True
8500,8,2349.0,False
8500,9,3044.0,True
8500,10,3032.0,True
8500,11,3000.0,True
8500,12,2367.0,False
8500,13,1049.0,False
8500,14,1725.0,False
8500,15,3032.0,True
8500,16,3048.0,True
8500,17,1587.0,False
8500,18,2228.0,False
8500,19,2999.0,True
8500,20,3013.0,True
8500,21,3015.0,True
8500,22,3032.0,True
8500,23,609.0,False
8500,24,1323.0,False
8500,25,3013.0,True
8000,1,624.0,False
8000,2,1684.0,False
8000,3,2583.0,False
8000,4,1938.0,False
8000,5,2583.0,False
8000,6,1437.0,False
8000,7,2301.0,False
8000,8,2583.0,False
8000,9,2605.0,False
8000,10,62.0,False
8000,11,1904.0,False
8000,12,2847.0,False
8000,13,1648.0,False
8000,14,2363.0,False
8000,15,775.0,False
8000,16,1665.0,False
8000,17,775.0,False
8000,18,1488.0,False
8000,19,1900.0,False
8000,20,2323.0,False
8000,21,2340.0,False
8000,22,2284.0,False
8000,23,1838.0,False
8000,24,2627.0,False
8000,25,2267.0,False
7500,1,1918.0,False
7500,2,789.0,False
7500,3,2365.0,False
7500,4,2335.0,False
7500,5,2989.0,True
7500,6,1917.0,False
7500,7,2996.0,True
7500,8,3001.0,True
7500,9,1851.0,False
7500,10,2925.0,False
7500,11,1654.0,False
7500,12,2323.0,False
7500,13,2358.0,False
7500,14,2361.0,False
7500,15,1921.0,False
7500,16,2304.0,False
7500,17,1568.0,False
7500,18,1344.0,False
7500,19,2593.0,False
7500,20,1563.0,False
7500,21,2583.0,False
7500,22,2929.0,False
7500,23,3023.0,True
7500,24,2575.0,False
7500,25,1499.0,False
7000,1,1698.0,False
7000,2,1629.0,False
7000,3,1816.0,False
7000,4,3028.0,True
7000,5,2352.0,False
7000,6,1925.0,False
7000,7,1588.0,False
7000,8,1586.0,False
7000,9,1918.0,False
7000,10,1858.0,False
7000,11,2645.0,False
7000,12,2921.0,False
7000,13,1931.0,False
7000,14,2333.0,False
7000,15,1073.0,False
7000,16,1816.0,False
7000,17,742.0,False
7000,18,1695.0,False
7000,19,1921.0,False
7000,20,2583.0,False
7000,21,1853.0,False
7000,22,2363.0,False
7000,23,1695.0,False
7000,24,1860.0,False
7000,25,1701.0,False
6500,1,1891.0,False
6500,2,2351.0,False
6500,3,2307.0,False
6500,4,2956.0,False
6500,5,1698.0,False
6500,6,2889.0,False
6500,7,2337.0,False
6500,8,1698.0,False
6500,9,2894.0,False
6500,10,2787.0,False
6500,11,1683.0,False
6500,12,2357.0,False
6500,13,2932.0,False
6500,14,1947.0,False
6500,15,1713.0,False
6500,16,1704.0,False
6500,17,1705.0,False
6500,18,2334.0,False
6500,19,2356.0,False
6500,20,2928.0,False
6500,21,2311.0,False
6500,22,1579.0,False
6500,23,2351.0,False
6500,24,1581.0,False
6000,1,1655.0,False
6000,2,1689.0,False
6000,3,1945.0,False
6000,4,1195.0,False
6000,5,1841.0,False
6000,6,817.0,False
6000,7,1570.0,False
